,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,Barreiras,59,BR,1605322944,59,-12.15,-44.99,73.92,2.37
314,Yerbogachën,99,RU,1605322984,93,61.28,108.01,11.44,12.15
315,Ubatuba,75,BR,1605322770,100,-23.43,-45.07,66.2,3.36
316,Jovellar,3,PH,1605322984,69,13.07,123.6,87.01,9.42
317,Amapá,3,BR,1605322984,95,1.0,-52.0,73.71,3.67
318,Bethel,1,US,1605322985,93,41.37,-73.41,39.0,4.7
319,Harper,13,LR,1605322985,86,4.38,-7.72,77.56,6.15
320,Znojmo,99,CZ,1605322985,96,48.86,16.05,43.0,2.51
321,Rio Grande,16,BR,1605322814,90,-32.03,-52.1,66.0,5.91
322,Svelgen,99,NO,1605322985,81,61.77,5.3,48.2,21.92
323,San Angelo,1,US,1605322986,67,31.46,-100.44,63.0,7.76
324,Aksarka,0,RU,1605322986,91,66.56,67.8,-5.84,5.84
325,Fort Nelson,90,CA,1605322986,78,58.81,-122.7,17.6,5.82
326,Pisco,0,PE,1605322986,82,-13.7,-76.22,64.4,11.41
327,Puerto Escondido,75,MX,1605322987,69,15.85,-97.07,82.4,3.69
328,Saint Anthony,1,US,1605322987,69,45.02,-93.22,33.8,10.29
329,Naze,75,JP,1605322987,74,28.37,129.48,78.8,13.87
330,Gigmoto,35,PH,1605322987,81,13.78,124.39,83.84,11.56
331,Akdepe,0,TM,1605322987,93,42.06,59.38,32.0,9.17
332,Sistranda,0,NO,1605322988,66,63.73,8.83,48.2,17.22
333,Port Blair,50,IN,1605322988,79,11.67,92.75,83.8,17.69
334,George Town,20,MY,1605322988,78,5.41,100.34,86.0,2.24
335,College,75,US,1605322988,78,64.86,-147.8,15.8,2.28
336,Acaraú,7,BR,1605322927,79,-2.89,-40.12,80.4,17.85
337,Egvekinot,4,RU,1605322989,91,66.32,-179.17,6.12,14.7
338,Guanare,100,VE,1605322989,93,9.04,-69.74,73.74,2.08
339,Villarrica,0,PY,1605322989,53,-25.75,-56.43,74.01,2.82
340,Breves,46,BR,1605322818,88,-1.68,-50.48,77.0,5.06
341,Shahr-e Bābak,68,IR,1605322990,73,30.12,55.12,45.73,6.04
342,Lesogorsk,54,RU,1605322990,92,56.05,99.51,23.49,4.16
343,Ilulissat,98,GL,1605322990,53,69.22,-51.1,21.2,8.05
344,Rāmpura,100,IN,1605322990,25,30.25,75.23,67.24,1.23
345,Kostanay,40,KZ,1605322844,85,53.17,63.58,12.2,8.95
346,Lompoc,1,US,1605322821,81,34.64,-120.46,53.6,9.17
347,Poputnaya,69,RU,1605322991,80,44.51,41.44,35.78,6.22
348,Alofi,75,NU,1605322991,66,-19.06,-169.92,84.2,17.22
349,Muriti,75,TZ,1605322992,83,-1.98,32.92,71.6,9.66
350,Pangody,2,RU,1605322992,91,65.85,74.49,-9.94,2.55
351,Padang,66,ID,1605322992,60,-0.95,100.35,86.88,2.64
352,Oktyabr'skoye,0,RU,1605322993,100,43.06,44.74,23.0,8.95
353,Ostrovnoy,99,RU,1605322993,90,68.05,39.51,34.57,12.37
354,Kurgan,92,RU,1605322993,97,55.45,65.33,19.51,9.42
355,Cho Dok,80,VN,1605322781,69,10.7,105.12,83.1,10.67
356,Shillong,20,IN,1605322924,94,25.57,91.88,73.4,8.05
357,Pacific Grove,90,US,1605322994,63,36.62,-121.92,60.8,3.36
358,Purpe,44,RU,1605322994,90,64.48,76.69,-14.3,5.17
359,Hervey Bay,0,AU,1605322994,51,-25.3,152.85,86.0,17.22
360,Faanui,13,PF,1605322994,72,-16.48,-151.75,80.13,5.91
361,Bang Mun Nak,23,TH,1605322995,58,16.03,100.38,82.99,1.3
362,Maykor,0,RU,1605322995,94,59.01,55.88,11.12,5.41
363,Algeciras,100,ES,1605322995,93,36.13,-5.45,64.4,6.93
364,Pitimbu,40,BR,1605322995,88,-7.47,-34.81,77.0,8.05
365,Pathein,0,MM,1605322996,70,16.78,94.73,80.76,11.7
366,Manatí,63,PR,1605322996,96,18.43,-66.49,77.0,8.21
367,Emerald,0,AU,1605322996,38,-23.53,148.17,95.0,8.05
368,Merauke,0,ID,1605322996,60,-8.47,140.33,86.99,13.47
369,Kovdor,100,RU,1605322997,94,67.57,30.48,34.34,8.79
370,Salalah,0,OM,1605322997,78,17.02,54.09,73.4,3.36
371,Mil'kovo,100,RU,1605322997,87,54.72,158.62,27.3,4.0
372,Trelleborg,90,SE,1605322997,100,55.38,13.16,50.0,6.93
373,Sivas Province,0,TR,1605322998,58,39.79,37.0,28.4,5.82
